Time,Transmembrane_potential
4.68,-13.824414362037036
4.69,-13.824414362037036
4.7,-13.824414362037036
4.71,-13.824414362037036
4.72,-13.824414362037036
4.73,-13.824414362037036
4.74,-13.824414362037036
4.75,-13.824414362037036
4.76,-13.824414362037036
4.7700000000000005,-13.824414362037036
4.78,-13.824414362037036
4.79,-13.824414362037036
4.8,-13.824414362037036
4.8100000000000005,-13.824414362037036
4.82,-13.824414362037036
4.83,-13.824414362037036
4.84,-13.824414362037036
4.8500000000000005,-13.824414362037036
4.86,-13.824414362037036
4.87,-13.824414362037036
4.88,-13.824414362037036
4.89,-13.824414362037036
4.9,-13.824414362037036
4.91,-13.824414362037036
4.92,-13.824414362037036
4.93,-13.824414362037036
4.94,-13.824414362037036
4.95,-13.824414362037036
4.96,-13.824414362037036
4.97,-13.824414362037036
4.98,-13.824414362037036
4.99,-13.824414362037036
5.0,-13.824414362037036
5.01,-13.824414362037036
5.0200000000000005,-13.824414362037036
5.03,-13.824414362037036
5.04,-13.824414362037036
5.05,-13.824414362037036
5.0600000000000005,-13.824414362037036
5.07,-13.824414362037036
5.08,-13.824414362037036
5.09,-13.824414362037036
5.1000000000000005,-13.824414362037036
5.11,-13.824414362037036
5.12,-13.824414362037036
5.13,-13.824414362037036
5.14,-13.824414362037036
5.15,-13.824414362037036
5.16,-13.824414362037036
5.17,-13.824414362037036
5.18,-13.824414362037036
5.19,-13.824414362037036
5.2,-13.824414362037036
5.21,-13.824414362037036
5.22,-13.824414362037036
5.23,-13.824414362037036
5.24,-13.824414362037036
5.25,-13.824414362037036
5.26,-13.824414362037036
5.2700000000000005,-13.824414362037036
5.28,-13.824414362037036
5.29,-13.824414362037036
5.3,-13.824414362037036
5.3100000000000005,-13.824414362037036
5.32,-13.824414362037036
5.33,-13.824414362037036
5.34,-13.824414362037036
5.3500000000000005,-13.824414362037036
5.36,-13.824414362037036
5.37,-13.824414362037036
5.38,-13.824414362037036
5.39,-13.824414362037036
5.4,-13.824414362037036
5.41,-13.824414362037036
5.42,-13.824414362037036
5.43,-13.824414362037036
5.44,-13.824414362037036
5.45,-13.824414362037036
5.46,-13.824414362037036
5.47,-13.824414362037036
5.48,-13.824414362037036
5.49,-13.824414362037036
5.5,-13.824414362037036
5.51,-18.44584883316498
5.5200000000000005,-18.44584883316498
5.53,-18.44584883316498
5.54,-18.44584883316498
5.55,-18.44584883316498
5.5600000000000005,-18.44584883316498
5.57,-18.44584883316498
5.58,-18.44584883316498
5.59,-18.44584883316498
5.6000000000000005,-18.44584883316498
5.61,-18.44584883316498
5.62,-18.44584883316498
5.63,-18.44584883316498
5.64,-18.44584883316498
5.65,-18.44584883316498
5.66,-18.44584883316498
5.67,-18.44584883316498
5.68,-18.44584883316498
5.69,-18.44584883316498
5.7,-18.44584883316498
5.71,-18.44584883316498
5.72,-18.44584883316498
5.73,-18.44584883316498
5.74,-18.44584883316498
5.75,-18.44584883316498
5.76,-18.44584883316498
5.7700000000000005,-18.44584883316498
5.78,-18.44584883316498
5.79,-18.44584883316498
5.8,-18.44584883316498
5.8100000000000005,-18.44584883316498
5.82,-18.44584883316498
5.83,-18.44584883316498
5.84,-18.44584883316498
5.8500000000000005,-18.44584883316498
5.86,-18.44584883316498
5.87,-18.44584883316498
5.88,-18.44584883316498
5.89,-18.44584883316498
5.9,-18.44584883316498
5.91,-18.44584883316498
5.92,-18.44584883316498
5.93,-18.44584883316498
5.94,-18.44584883316498
5.95,-18.44584883316498
5.96,-18.44584883316498
5.97,-18.44584883316498
5.98,-18.44584883316498
5.99,-18.44584883316498
6.0,-18.44584883316498
6.01,-19.247816899831648
6.0200000000000005,-19.247816899831648
6.03,-19.247816899831648
6.04,-19.247816899831648
6.05,-19.247816899831648
6.0600000000000005,-19.247816899831648
6.07,-19.247816899831648
6.08,-19.247816899831648
6.09,-19.247816899831648
6.1000000000000005,-19.247816899831648
6.11,-19.247816899831648
6.12,-19.247816899831648
6.13,-19.247816899831648
6.140000000000001,-19.247816899831648
6.15,-19.247816899831648
6.16,-19.247816899831648
6.17,-19.247816899831648
6.18,-19.247816899831648
6.19,-19.247816899831648
6.2,-19.247816899831648
6.21,-19.247816899831648
6.22,-19.247816899831648
6.23,-19.247816899831648
6.24,-19.247816899831648
6.25,-19.247816899831648
6.26,-19.247816899831648
6.2700000000000005,-19.247816899831648
6.28,-19.247816899831648
6.29,-19.247816899831648
6.3,-19.247816899831648
6.3100000000000005,-19.247816899831648
6.32,-19.247816899831648
6.33,-19.247816899831648
6.34,-19.247816899831648
6.3500000000000005,-19.247816899831648
6.36,-19.247816899831648
6.37,-19.247816899831648
6.38,-19.247816899831648
6.390000000000001,-19.247816899831648
6.4,-19.247816899831648
6.41,-19.247816899831648
6.42,-19.247816899831648
6.43,-19.247816899831648
6.44,-19.247816899831648
6.45,-19.247816899831648
